ARCHIVO GENERADO AUTOMÁTICAMENTE POR unir_logs.py
Fecha de generación: 2026-07-21 14:26:32
[2026-07-21 14:07:34.585] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:34.626] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:34.833] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:35.234] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:35.274] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:35.485] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:35.734] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:36.389] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:36.809] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:37.444] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:37.651] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:37.693] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:37.895] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:38.568] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:38.609] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:38.806] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:38.821] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:39.728] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:39.879] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:40.718] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:40.761] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:40.780] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:40.967] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:41.879] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:41.903] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:41.943] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:42.154] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:42.976] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:43.062] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:43.857] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:43.903] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:44.114] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:45.189] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:45.237] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:45.280] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:45.490] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:46.275] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:46.398] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:47.098] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:47.144] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:47.350] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:47.451] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:48.265] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:48.573] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:48.615] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:48.825] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:49.367] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:49.734] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:50.164] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:50.210] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:50.429] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:50.786] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:51.346] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:51.910] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:51.950] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:52.161] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:52.463] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:53.070] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:53.239] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:53.278] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:53.521] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:54.121] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:54.502] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:55.248] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:55.286] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:55.496] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:55.775] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:56.406] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:56.547] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:56.594] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:56.816] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:07:57.455] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:57.791] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:19.856] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:19.892] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:20.103] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:21.011] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:22.062] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:22.541] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:22.574] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:22.787] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:23.190] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:23.225] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:23.438] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:23.690] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:24.349] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:24.760] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:25.398] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:25.606] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:25.644] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:25.846] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:26.525] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:26.560] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:26.764] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:26.772] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:27.682] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:27.833] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:28.676] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:28.713] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:28.734] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:28.916] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:29.834] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:29.860] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:29.896] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:30.109] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:30.926] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:31.019] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:31.814] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:31.857] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:32.068] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:33.147] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:33.195] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:33.232] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:33.444] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:34.230] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:34.356] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:35.054] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:35.090] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:35.307] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:35.402] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:36.223] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:36.531] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:36.568] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:36.780] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:37.317] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:37.692] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:38.120] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:38.160] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:38.384] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:38.741] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:39.302] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:39.867] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:39.904] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:40.118] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:40.417] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:41.026] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:41.191] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:41.231] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:41.465] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:42.077] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:43.201] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:43.239] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:43.451] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:43.732] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:44.360] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:20:44.507] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:44.545] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:20:44.798] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:26.449] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:26.486] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:26.695] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:27.604] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:28.662] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:29.131] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:29.169] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:29.379] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:29.783] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:29.822] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:30.030] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:30.281] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:30.941] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:31.358] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:31.995] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:32.198] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:32.245] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:32.439] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:33.120] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:33.157] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:33.356] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:33.364] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:34.278] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:34.430] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:35.271] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:35.311] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:35.332] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:35.512] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:36.430] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:36.456] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:36.489] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:36.700] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:37.527] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:37.614] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:38.412] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:38.453] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:38.667] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:39.743] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:39.791] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:39.823] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:40.035] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:40.828] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:40.951] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:41.648] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:41.683] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:41.895] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:42.001] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:42.819] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:43.125] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:43.157] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:43.371] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:43.916] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:44.287] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:44.714] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:44.749] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:44.976] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:45.339] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:45.898] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:46.459] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:46.492] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:46.709] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:47.015] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:47.622] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:47.783] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:47.819] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:48.059] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:48.678] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:49.796] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:49.833] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:50.045] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:50.329] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:50.958] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:51.096] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:51.142] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:51.363] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:52.012] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:52.340] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:53.135] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:53.169] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:53.382] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:53.544] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:54.188] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:54.275] Bala impactó en Zombie_base(Clone).
[2026-07-21 14:25:54.295] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:25:54.439] Bala impactó en Zombie_base(Clone).

================================================================================
ARCHIVO: ControlArmeria.log
================================================================================
﻿[2026-07-20 22:46:28.573] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 12:05:12.780] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 12:34:01.858] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 12:35:27.726] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:02:25.080] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:04:38.626] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:06:05.614] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:06:50.429] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:07:23.221] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:08:52.874] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:09:19.305] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 13:09:52.211] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 14:07:08.230] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 14:20:02.564] Armería inicializada. Total de armas en catálogo: 5
[2026-07-21 14:25:09.214] Armería inicializada. Total de armas en catálogo: 5

================================================================================
ARCHIVO: ControlSoldados.log
================================================================================
﻿[2026-07-20 22:46:28.598] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-20 22:46:28.600] El soldado 'Pos1' tiene su munición lista.
[2026-07-20 22:46:28.601] El soldado 'Pos2' tiene su munición lista.
[2026-07-20 22:46:28.604] El soldado 'Pos3' tiene su munición lista.
[2026-07-20 22:46:28.605] El soldado 'Pos4' tiene su munición lista.
[2026-07-20 22:46:28.606] El soldado 'Pos5' tiene su munición lista.
[2026-07-20 22:46:28.608] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 12:05:12.783] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 12:05:12.785] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 12:05:12.787] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 12:05:12.788] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 12:05:12.788] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 12:05:12.789] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 12:05:12.791] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 12:34:01.861] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 12:34:01.886] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 12:34:01.887] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 12:34:01.888] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 12:34:01.889] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 12:34:01.891] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 12:34:01.892] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 12:35:27.729] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 12:35:27.730] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 12:35:27.731] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 12:35:27.732] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 12:35:27.733] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 12:35:27.734] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 12:35:27.736] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 12:35:40.177] El soldado Pos4 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 12:35:40.228] El soldado Pos3 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 12:35:40.244] El soldado Pos5 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 12:35:41.120] El soldado Pos2 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 12:35:41.993] El soldado Pos1 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 12:35:43.461] El soldado Pos4 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 12:35:43.564] El soldado Pos3 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 12:35:43.581] El soldado Pos5 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 12:35:44.466] El soldado Pos2 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 13:02:25.083] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 13:02:25.084] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 13:02:25.084] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 13:02:25.086] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 13:02:25.087] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 13:02:25.088] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 13:02:25.090] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 13:04:38.630] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 13:04:38.632] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 13:04:38.633] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 13:04:38.633] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 13:04:38.636] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 13:04:38.638] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 13:04:38.640] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 13:06:05.644] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 13:06:05.646] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 13:06:05.647] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 13:06:05.648] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 13:06:05.648] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 13:06:05.650] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 13:06:05.651] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 13:06:18.208] El soldado Pos4 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:06:18.231] El soldado Pos3 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:06:18.380] El soldado Pos5 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:06:19.010] El soldado Pos2 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:06:19.748] El soldado Pos1 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:06:21.540] El soldado Pos4 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 13:06:21.567] El soldado Pos3 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 13:06:21.714] El soldado Pos5 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 13:06:22.346] El soldado Pos2 disparó con éxito. Arma: basica | Balas restantes: 10
[2026-07-21 13:06:50.432] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 13:06:50.434] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 13:06:50.436] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 13:06:50.437] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 13:06:50.440] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 13:06:50.441] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 13:06:50.442] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 13:07:23.224] Auditoría inicial del escuadrón. Total de soldados detectados: 5 | Vida Total: 75
[2026-07-21 13:07:23.225] El soldado 'Pos1' tiene su munición lista.
[2026-07-21 13:07:23.227] El soldado 'Pos2' tiene su munición lista.
[2026-07-21 13:07:23.228] El soldado 'Pos3' tiene su munición lista.
[2026-07-21 13:07:23.229] El soldado 'Pos4' tiene su munición lista.
[2026-07-21 13:07:23.230] El soldado 'Pos5' tiene su munición lista.
[2026-07-21 13:07:23.230] Salud global del escuadrón: 75/75 (100%)
[2026-07-21 13:07:40.645] El soldado Pos4 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:07:40.674] El soldado Pos3 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:07:40.891] El soldado Pos5 disparó con éxito. Arma: basica | Balas restantes: 11
[2026-07-21 13:07:41.790] El soldado Pos2 disparó con éxito. Arma: basica | Balas restantes: 11
